SolomonPotvinBengio/rc_201.1.txt |   sequence | open (initial) |     444.54 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 11 17 1 10 3 12 2 15 | seed: 45561178
SolomonPotvinBengio/rc_201.2.txt |   sequence | open (initial) |     711.54 |       0.00 | 13 21 10 23 9 12 5 6 8 16 19 25 17 18 1 24 2 11 7 4 3 14 20 22 15 | seed: -2015986401
SolomonPotvinBengio/rc_201.3.txt |   sequence | open (initial) |     790.61 |       0.00 | 12 14 15 5 17 2 30 22 27 9 10 24 7 28 19 25 26 6 8 18 3 29 20 13 11 16 1 4 21 31 23 | seed: 614965493
SolomonPotvinBengio/rc_201.4.txt |   sequence | open (initial) |     793.63 |       0.00 | 20 2 14 3 1 17 21 6 5 4 13 12 25 23 16 11 9 10 18 24 15 7 8 22 19 | seed: -220712447
SolomonPotvinBengio/rc_202.1.txt |   sequence | open (initial) |     771.78 |       0.00 | 30 32 26 21 13 8 6 7 9 11 10 23 15 1 2 18 25 5 27 28 20 4 16 3 22 19 17 14 12 29 31 24 | seed: 1517433497
SolomonPotvinBengio/rc_202.2.txt |   sequence | open (initial) |     304.14 |       0.00 | 11 12 1 3 4 9 2 5 10 8 7 6 13 | seed: -419963412
SolomonPotvinBengio/rc_202.3.txt |   sequence | open (initial) |     837.72 |       0.00 | 14 8 11 21 5 20 19 22 24 25 10 9 12 13 28 2 1 16 15 23 17 4 3 26 6 7 27 18 | seed: 2109666110
SolomonPotvinBengio/rc_202.4.txt |   sequence | open (initial) |     793.03 |       0.00 | 24 21 8 5 4 26 14 7 13 22 19 16 18 9 23 20 2 11 17 25 3 10 6 1 12 27 15 | seed: -1701884393
SolomonPotvinBengio/rc_203.1.txt |   sequence | open (initial) |     453.48 |       0.00 | 17 16 10 13 8 12 3 9 15 11 18 14 7 5 4 6 2 1 | seed: -656451394
SolomonPotvinBengio/rc_203.2.txt |   sequence | open (initial) |     784.16 |       0.00 | 28 17 13 12 10 11 26 25 21 31 27 3 8 6 14 4 30 16 7 15 5 29 19 22 23 18 20 1 2 9 24 32 | seed: -881531595
SolomonPotvinBengio/rc_203.3.txt |   sequence | open (initial) |     817.53 |       0.00 | 34 31 18 16 13 11 9 8 10 15 14 12 23 24 33 20 29 28 3 1 22 26 36 2 5 17 6 4 25 21 27 7 19 32 35 30 | seed: 1825347989
