insertion_1 lns without initial solution 
run 1 / 10 with seed =  -371186062:  	Time: 900.000 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 2 / 10 with seed =  1041802985:  	Time: 900.000 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 3 / 10 with seed =  -524227897:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 4 / 10 with seed =  -789629188:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 5 / 10 with seed = -1162628803:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 6 / 10 with seed =   785151232:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 7 / 10 with seed =     1393872:  	Time: 900.000 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 8 / 10 with seed =   822154680:  	Time: 900.001 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 9 / 10 with seed =  -203330034:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 10 / 10 with seed =  1518339594:  	Time: 900.023 / 900.000 [s] 	Best objective: 796.405 	#Solutions found: 158 	Unique solutions found: 158
	t = 529.313 [s] 	 obj = 1137.092
	t = 529.408 [s] 	 obj = 1130.273
	t = 529.489 [s] 	 obj = 1129.170
	t = 531.107 [s] 	 obj = 1127.292
	t = 531.202 [s] 	 obj = 1122.556
	t = 531.576 [s] 	 obj = 1118.376
	t = 531.952 [s] 	 obj = 1112.952
	t = 532.685 [s] 	 obj = 1111.512
	t = 533.086 [s] 	 obj = 1104.430
	t = 533.180 [s] 	 obj = 1097.009
	t = 533.270 [s] 	 obj = 1096.713
	t = 533.557 [s] 	 obj = 1088.855
	t = 533.647 [s] 	 obj = 1088.757
	t = 534.460 [s] 	 obj = 1086.363
	t = 534.644 [s] 	 obj = 1084.364
	t = 535.456 [s] 	 obj = 1083.665
	t = 535.635 [s] 	 obj = 1080.713
	t = 535.819 [s] 	 obj = 1078.835
	t = 535.906 [s] 	 obj = 1077.111
	t = 536.191 [s] 	 obj = 1073.720
	t = 536.371 [s] 	 obj = 1072.592
	t = 536.905 [s] 	 obj = 1066.126
	t = 537.083 [s] 	 obj = 1060.445
	t = 537.990 [s] 	 obj = 1047.664
	t = 538.153 [s] 	 obj = 1038.555
	t = 538.489 [s] 	 obj = 1038.205
	t = 538.665 [s] 	 obj = 1036.772
	t = 544.255 [s] 	 obj = 1036.754
	t = 544.846 [s] 	 obj = 1031.258
	t = 545.274 [s] 	 obj = 1030.192
	t = 545.356 [s] 	 obj = 1027.070
	t = 545.523 [s] 	 obj = 1026.140
	t = 546.027 [s] 	 obj = 1018.071
	t = 546.855 [s] 	 obj = 1015.822
	t = 547.228 [s] 	 obj = 1015.121
	t = 548.639 [s] 	 obj = 1010.318
	t = 549.949 [s] 	 obj = 1009.040
	t = 550.038 [s] 	 obj = 1006.211
	t = 551.450 [s] 	 obj = 1004.294
	t = 551.549 [s] 	 obj = 1002.164
	t = 551.743 [s] 	 obj = 999.773
	t = 553.240 [s] 	 obj = 999.274
	t = 553.618 [s] 	 obj = 997.700
	t = 553.710 [s] 	 obj = 996.189
	t = 554.848 [s] 	 obj = 996.141
	t = 555.028 [s] 	 obj = 990.994
	t = 556.123 [s] 	 obj = 990.905
	t = 557.533 [s] 	 obj = 990.539
	t = 558.632 [s] 	 obj = 990.189
	t = 560.541 [s] 	 obj = 988.679
	t = 592.436 [s] 	 obj = 987.235
	t = 593.484 [s] 	 obj = 984.878
	t = 594.776 [s] 	 obj = 980.805
	t = 595.150 [s] 	 obj = 980.592
	t = 597.034 [s] 	 obj = 975.925
	t = 597.697 [s] 	 obj = 972.841
	t = 597.986 [s] 	 obj = 971.414
	t = 599.015 [s] 	 obj = 964.698
	t = 602.526 [s] 	 obj = 964.620
	t = 606.789 [s] 	 obj = 964.563
	t = 607.557 [s] 	 obj = 962.100
	t = 609.819 [s] 	 obj = 960.384
	t = 610.085 [s] 	 obj = 959.703
	t = 610.277 [s] 	 obj = 957.838
	t = 611.198 [s] 	 obj = 956.772
	t = 622.821 [s] 	 obj = 955.530
	t = 623.417 [s] 	 obj = 952.372
	t = 624.796 [s] 	 obj = 950.994
	t = 624.935 [s] 	 obj = 950.629
	t = 625.595 [s] 	 obj = 950.368
	t = 625.926 [s] 	 obj = 947.153
	t = 627.625 [s] 	 obj = 947.147
	t = 627.828 [s] 	 obj = 946.748
	t = 627.977 [s] 	 obj = 944.356
	t = 628.048 [s] 	 obj = 942.388
	t = 628.535 [s] 	 obj = 942.214
	t = 628.883 [s] 	 obj = 939.161
	t = 629.955 [s] 	 obj = 938.901
	t = 630.503 [s] 	 obj = 934.130
	t = 630.725 [s] 	 obj = 929.295
	t = 630.862 [s] 	 obj = 928.838
	t = 630.931 [s] 	 obj = 926.487
	t = 631.885 [s] 	 obj = 923.897
	t = 632.417 [s] 	 obj = 922.491
	t = 632.936 [s] 	 obj = 920.574
	t = 633.207 [s] 	 obj = 920.102
	t = 633.486 [s] 	 obj = 919.757
	t = 634.171 [s] 	 obj = 919.302
	t = 634.299 [s] 	 obj = 911.671
	t = 634.440 [s] 	 obj = 901.547
	t = 635.284 [s] 	 obj = 900.485
	t = 635.490 [s] 	 obj = 897.758
	t = 635.564 [s] 	 obj = 893.738
	t = 635.708 [s] 	 obj = 892.863
	t = 636.353 [s] 	 obj = 889.190
	t = 636.634 [s] 	 obj = 888.738
	t = 639.051 [s] 	 obj = 888.133
	t = 643.212 [s] 	 obj = 887.041
	t = 643.489 [s] 	 obj = 885.289
	t = 646.124 [s] 	 obj = 880.841
	t = 646.201 [s] 	 obj = 880.757
	t = 646.404 [s] 	 obj = 873.983
	t = 647.153 [s] 	 obj = 873.107
	t = 647.221 [s] 	 obj = 870.984
	t = 648.048 [s] 	 obj = 870.919
	t = 648.724 [s] 	 obj = 869.409
	t = 649.087 [s] 	 obj = 867.856
	t = 649.353 [s] 	 obj = 867.764
	t = 649.779 [s] 	 obj = 867.354
	t = 649.987 [s] 	 obj = 865.512
	t = 651.495 [s] 	 obj = 862.718
	t = 660.148 [s] 	 obj = 862.632
	t = 661.181 [s] 	 obj = 859.558
	t = 661.389 [s] 	 obj = 859.193
	t = 661.974 [s] 	 obj = 859.184
	t = 667.217 [s] 	 obj = 857.674
	t = 676.476 [s] 	 obj = 857.055
	t = 678.188 [s] 	 obj = 856.694
	t = 707.449 [s] 	 obj = 855.849
	t = 720.545 [s] 	 obj = 851.122
	t = 721.361 [s] 	 obj = 845.385
	t = 721.901 [s] 	 obj = 845.085
	t = 722.531 [s] 	 obj = 840.695
	t = 722.952 [s] 	 obj = 838.095
	t = 723.273 [s] 	 obj = 838.094
	t = 724.287 [s] 	 obj = 836.496
	t = 724.626 [s] 	 obj = 836.465
	t = 725.006 [s] 	 obj = 836.006
	t = 725.209 [s] 	 obj = 835.275
	t = 726.356 [s] 	 obj = 835.260
	t = 726.878 [s] 	 obj = 835.229
	t = 727.012 [s] 	 obj = 834.596
	t = 727.561 [s] 	 obj = 833.402
	t = 727.915 [s] 	 obj = 832.083
	t = 730.624 [s] 	 obj = 831.154
	t = 731.256 [s] 	 obj = 831.141
	t = 732.824 [s] 	 obj = 825.659
	t = 739.685 [s] 	 obj = 825.181
	t = 740.363 [s] 	 obj = 825.052
	t = 740.731 [s] 	 obj = 825.037
	t = 742.289 [s] 	 obj = 822.950
	t = 743.193 [s] 	 obj = 822.885
	t = 760.148 [s] 	 obj = 820.412
	t = 760.428 [s] 	 obj = 820.215
	t = 769.940 [s] 	 obj = 819.373
	t = 770.302 [s] 	 obj = 818.168
	t = 770.601 [s] 	 obj = 817.045
	t = 773.491 [s] 	 obj = 815.984
	t = 878.397 [s] 	 obj = 813.930
	t = 878.884 [s] 	 obj = 812.796
	t = 881.841 [s] 	 obj = 810.612
	t = 882.041 [s] 	 obj = 809.034
	t = 882.857 [s] 	 obj = 808.632
	t = 883.242 [s] 	 obj = 807.295
	t = 883.345 [s] 	 obj = 803.652
	t = 883.760 [s] 	 obj = 802.353
	t = 883.959 [s] 	 obj = 801.242
	t = 885.113 [s] 	 obj = 796.405
