insertion_3 lns without initial solution 
run 1 / 10 with seed = -1904485001:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 2 / 10 with seed = -1737648955:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 3 / 10 with seed =  -810588197:  	Time: 900.006 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 4 / 10 with seed = -1755204120:  	Time: 900.005 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 5 / 10 with seed =  -297573884:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 6 / 10 with seed = -1004154478:  	Time: 900.087 / 900.000 [s] 	Best objective: 732.570 	#Solutions found: 134 	Unique solutions found: 134
	t = 208.051 [s] 	 obj = 985.722
	t = 208.168 [s] 	 obj = 983.779
	t = 208.528 [s] 	 obj = 983.682
	t = 208.898 [s] 	 obj = 975.035
	t = 209.637 [s] 	 obj = 968.732
	t = 209.724 [s] 	 obj = 968.106
	t = 209.813 [s] 	 obj = 966.899
	t = 210.371 [s] 	 obj = 960.396
	t = 210.460 [s] 	 obj = 957.715
	t = 210.639 [s] 	 obj = 953.569
	t = 211.493 [s] 	 obj = 945.689
	t = 212.305 [s] 	 obj = 944.076
	t = 212.778 [s] 	 obj = 943.138
	t = 213.061 [s] 	 obj = 941.970
	t = 215.271 [s] 	 obj = 939.504
	t = 215.817 [s] 	 obj = 937.714
	t = 217.674 [s] 	 obj = 937.464
	t = 218.490 [s] 	 obj = 935.820
	t = 218.759 [s] 	 obj = 934.528
	t = 218.930 [s] 	 obj = 932.064
	t = 219.106 [s] 	 obj = 931.800
	t = 219.998 [s] 	 obj = 930.348
	t = 220.992 [s] 	 obj = 917.153
	t = 221.881 [s] 	 obj = 916.809
	t = 222.677 [s] 	 obj = 916.791
	t = 224.830 [s] 	 obj = 916.011
	t = 225.847 [s] 	 obj = 909.952
	t = 227.392 [s] 	 obj = 908.992
	t = 228.487 [s] 	 obj = 908.754
	t = 228.840 [s] 	 obj = 908.743
	t = 235.239 [s] 	 obj = 906.979
	t = 241.788 [s] 	 obj = 896.152
	t = 243.889 [s] 	 obj = 889.971
	t = 245.448 [s] 	 obj = 889.896
	t = 249.813 [s] 	 obj = 889.423
	t = 255.006 [s] 	 obj = 888.960
	t = 258.167 [s] 	 obj = 886.560
	t = 259.861 [s] 	 obj = 885.853
	t = 260.500 [s] 	 obj = 885.578
	t = 261.083 [s] 	 obj = 884.298
	t = 262.055 [s] 	 obj = 884.288
	t = 262.159 [s] 	 obj = 883.640
	t = 262.955 [s] 	 obj = 883.050
	t = 264.845 [s] 	 obj = 875.018
	t = 265.845 [s] 	 obj = 875.000
	t = 266.324 [s] 	 obj = 874.650
	t = 267.777 [s] 	 obj = 874.638
	t = 274.743 [s] 	 obj = 873.811
	t = 290.452 [s] 	 obj = 872.882
	t = 323.764 [s] 	 obj = 871.265
	t = 323.981 [s] 	 obj = 870.184
	t = 324.754 [s] 	 obj = 869.857
	t = 325.515 [s] 	 obj = 868.767
	t = 326.363 [s] 	 obj = 867.956
	t = 326.660 [s] 	 obj = 867.880
	t = 327.368 [s] 	 obj = 867.691
	t = 328.538 [s] 	 obj = 867.091
	t = 332.192 [s] 	 obj = 865.649
	t = 334.042 [s] 	 obj = 865.566
	t = 334.699 [s] 	 obj = 865.548
	t = 335.207 [s] 	 obj = 864.909
	t = 355.596 [s] 	 obj = 864.378
	t = 355.710 [s] 	 obj = 862.254
	t = 355.950 [s] 	 obj = 859.693
	t = 359.605 [s] 	 obj = 855.802
	t = 360.077 [s] 	 obj = 854.734
	t = 360.644 [s] 	 obj = 851.249
	t = 360.740 [s] 	 obj = 848.867
	t = 361.835 [s] 	 obj = 848.263
	t = 366.923 [s] 	 obj = 843.133
	t = 374.103 [s] 	 obj = 842.980
	t = 374.658 [s] 	 obj = 838.834
	t = 377.098 [s] 	 obj = 838.751
	t = 399.755 [s] 	 obj = 838.488
	t = 400.083 [s] 	 obj = 836.350
	t = 400.428 [s] 	 obj = 833.352
	t = 402.890 [s] 	 obj = 832.561
	t = 403.336 [s] 	 obj = 832.431
	t = 404.712 [s] 	 obj = 830.542
	t = 411.479 [s] 	 obj = 830.459
	t = 417.396 [s] 	 obj = 829.398
	t = 417.605 [s] 	 obj = 825.928
	t = 422.556 [s] 	 obj = 823.609
	t = 422.750 [s] 	 obj = 821.583
	t = 423.668 [s] 	 obj = 820.467
	t = 423.901 [s] 	 obj = 820.212
	t = 428.791 [s] 	 obj = 816.099
	t = 428.891 [s] 	 obj = 814.206
	t = 429.089 [s] 	 obj = 813.400
	t = 431.051 [s] 	 obj = 810.969
	t = 431.480 [s] 	 obj = 800.147
	t = 561.965 [s] 	 obj = 800.083
	t = 562.153 [s] 	 obj = 799.872
	t = 562.662 [s] 	 obj = 799.569
	t = 565.389 [s] 	 obj = 799.051
	t = 569.850 [s] 	 obj = 797.669
	t = 596.519 [s] 	 obj = 797.205
	t = 596.622 [s] 	 obj = 796.974
	t = 597.369 [s] 	 obj = 796.508
	t = 597.693 [s] 	 obj = 795.688
	t = 598.114 [s] 	 obj = 793.977
	t = 624.232 [s] 	 obj = 792.394
